Hospital Name,Base DRG Group,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent
Loyola University Medical Center,FEVER  (864),"$11,652","$20,940",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Sarasota Memorial Hospital,"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$12,249","$20,933",,,Sarasota Memorial Health Care System,
Advocate Lutheran General Hospital,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA  (441, 442, 443)","$9,594","$20,860",,,Advocate Health Care,Advocate Health
Community Hospital,"MAJOR CHEST TRAUMA  (183, 184, 185)","$7,540","$20,845",,,Powers Health (FKA Community Healthcare System),
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),"NONSPECIFIC CEREBROVASCULAR DISORDERS  (070, 071, 072)","$6,999","$20,828",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
HSHS St Johns Hospital,"RENAL FAILURE  (682, 683, 684)","$11,317","$20,799",,,Hospital Sisters Health System (AKA HSHS),
Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$6,949","$20,754",,,Ascension Health Illinois,Ascension Health
OSF Saint Katharine Medical Center (FKA Katherine Shaw Bethea Hospital),"MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS  (371, 372, 373)","$14,684","$20,727",,,OSF HealthCare,
Advocate Christ Medical Center,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$7,368","$20,714",,,Advocate Health Care,Advocate Health
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),"PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG  (542, 543, 544)","$7,513","$20,697",,,OSF HealthCare,
Iroquois Memorial Hospital,"KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM  (659, 660, 661)","$2,743","$20,696",,,,
Aurora Lakeland Medical Center,COAGULATION DISORDERS  (813),"$12,203","$20,679",,,Aurora Health Care,Advocate Health
Carle Health Methodist Hospital (FKA Methodist Hospital),"DISORDERS OF PANCREAS EXCEPT MALIGNANCY  (438, 439, 440)","$5,422","$20,657",,,Carle Health System,
Oceans Behavioral Hospital Katy,PSYCHOSES  (885),"$13,256","$20,557",,,Oceans Healthcare,Oceans Healthcare
Advocate Good Samaritan Hospital,"MAJOR SHOULDER OR ELBOW JOINT PROCEDURES  (507, 508)","$15,202","$20,529",,,Advocate Health Care,Advocate Health
Silver Cross Hospital,"BENIGN PROSTATIC HYPERTROPHY  (725, 726)","$5,441","$20,517",,,,
John H Stroger Jr Hospital of Cook County,"OTHER MULTIPLE SIGNIFICANT TRAUMA  (963, 964, 965)","$77,911","$20,504",,,Cook County Health & Hospitals System,
Queens Medical Center,"HEART FAILURE & SHOCK  (291, 292, 293)",$0,"$20,460",,,The Queens Health Systems,
MercyOne Genesis Davenport Medical Center (FKA Genesis Medical Center - East Rusholme Street),"ENDOCRINE DISORDERS  (643, 644, 645)","$9,807","$20,388",,,MercyOne Genesis (FKA Genesis Health System),Trinity Health (FKA CHE Trinity Health)
Northwestern Memorial Hospital,OTHER FACTORS INFLUENCING HEALTH STATUS  (951),"$6,902","$20,387",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Sarasota Memorial Hospital,PSYCHOSES  (885),"$3,175","$20,289",,,Sarasota Memorial Health Care System,
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"HYPERTENSION  (304, 305)","$10,237","$20,229",,,Prime Healthcare Services,Prime Healthcare Services
Corewell Health Lakeland Hospitals - St Joseph Hospital (FKA Spectrum Heath Lakeland Medical Center),"SIMPLE PNEUMONIA & PLEURISY  (193, 194, 195)","$5,881","$20,219",,,Corewell Health South (FKA Spectrum Health Lakeland),Corewell Health (FKA BHSH System)
Moffitt Cancer Center Magnolia Campus (AKA H Lee Moffitt Cancer Center & Research Institute),"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA  (441, 442, 443)","$5,770","$20,197",,,Moffitt Cancer Center,
Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),OTHER FACTORS INFLUENCING HEALTH STATUS  (951),"$6,091","$20,179",,,Ascension Health Illinois,Ascension Health
Northwestern Medicine Palos Hospital (AKA Palos Health),"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA  (441, 442, 443)","$5,128","$20,173",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Roseland Community Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$4,997","$20,135",,,,
Advocate Good Samaritan Hospital,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES  (154, 155, 156)",$0,"$20,131",,,Advocate Health Care,Advocate Health
Uchicago Medicine AdventHealth Bolingbrook (FKA AdventHealth Bolingbrook),"EAR, NOSE, MOUTH & THROAT MALIGNANCY  (146, 147, 148)","$15,936","$20,118",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
CHA Cambridge Hospital,"MAJOR CHEST TRAUMA  (183, 184, 185)","$21,528","$20,019",,,Cambridge Health Alliance,
Methodist Hospitals - Northlake,"ATHEROSCLEROSIS  (302, 303)","$5,594","$19,966",,,Methodist Hospitals,
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),"PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG  (542, 543, 544)","$7,110","$19,945",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Advocate Condell Medical Center,"G.I. OBSTRUCTION  (388, 389, 390)","$4,498","$19,938",,,Advocate Health Care,Advocate Health
Graham Hospital Association (AKA Graham Health System),"CELLULITIS  (602, 603)","$6,804","$19,909",,,,
St Catherine Hospital,"OTHER DIGESTIVE SYSTEM DIAGNOSES  (393, 394, 395)","$13,674","$19,903",,,Powers Health (FKA Community Healthcare System),
Northwest Community Hospital (AKA Northwest Community Healthcare),"OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES  (564, 565, 566)","$5,730","$19,847",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Aurora Charter Oak Hospital,PSYCHOSES  (885),"$12,431","$19,825",,,Aurora Behavioral Health System,Signature Healthcare Services
Swedish Hospital (FKA Swedish Covenant Hospital),UNKNOWN  (000),$0,"$19,819",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
St Catherine Hospital,"CELLULITIS  (602, 603)","$5,677","$19,770",,,Powers Health (FKA Community Healthcare System),
Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),PULMONARY EDEMA & RESPIRATORY FAILURE  (189),"$10,641","$19,759",,,Ascension Health Illinois,Ascension Health
Edward Hospital (FKA Edward Heart Hospital),"MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA  (058, 059, 060)","$6,644","$19,745",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Advocate Christ Medical Center,"SKIN ULCERS  (592, 593, 594)","$11,219","$19,669",,,Advocate Health Care,Advocate Health
OSF St Joseph Medical Center,"DISORDERS OF PANCREAS EXCEPT MALIGNANCY  (438, 439, 440)","$4,591","$19,645",,,OSF HealthCare,
OSF Saint Anthony Medical Center,"TRAUMATIC STUPOR & COMA, COMA <1 HR  (085, 086, 087)","$15,531","$19,567",,,OSF HealthCare,
Gottlieb Memorial Hospital,"ENDOCRINE DISORDERS  (643, 644, 645)","$4,462","$19,474",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Sycamore Springs,"ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY  (896, 897)","$4,108","$19,473",,,Lifepoint Health Behavioral Health (FKA Springstone Inc),LifePoint Health (FKA LifePoint Hospitals)
OSF Saint Elizabeth Medical Center (FKA Ottawa Regional Hosp & Hc Center),"OTHER CIRCULATORY SYSTEM DIAGNOSES  (314, 315, 316)","$6,849","$19,432",,,OSF HealthCare,
Carle Foundation Hospital,"DIABETES  (637, 638, 639)","$18,768","$19,368",,,Carle Health System,
Loyola University Medical Center,"RED BLOOD CELL DISORDERS  (811, 812)","$11,537","$19,338",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Aurora Medical Center - Bay Area (FKA Bay Area Medical Center),"HYPERTENSION  (304, 305)","$4,052","$19,299",,,Aurora Health Care,Advocate Health
Resurrection Medical Center (FKA Ascension Resurrection),"OTHER VASCULAR PROCEDURES  (252, 253, 254)","$28,284","$19,285",,,Prime Healthcare Services,Prime Healthcare Services
North Vista Hospital,PSYCHOSES  (885),"$4,903","$19,283",,,Prime Healthcare Services,Prime Healthcare Services
John H Stroger Jr Hospital of Cook County,"SPINAL DISORDERS & INJURIES  (052, 053)","$60,554","$19,280",,,Cook County Health & Hospitals System,
University of Illinois Hospital,"MAJOR SKIN DISORDERS  (595, 596)","$12,364","$19,275",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Cleveland Clinic Main Campus,"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS  (308, 309, 310)","$7,713","$19,251",,,Cleveland Clinic Health System,Cleveland Clinic Health System
Northwest Health - La Porte (FKA La Porte Hospital),"DISORDERS OF PANCREAS EXCEPT MALIGNANCY  (438, 439, 440)","$4,435","$19,237",,,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS)
Uchicago Medicine AdventHealth Bolingbrook (FKA AdventHealth Bolingbrook),"MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS  (371, 372, 373)","$6,674","$19,158",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Community First Medical Center (FKA Our Lady of the Resurrection Medical Center),RESPIRATORY SIGNS & SYMPTOMS  (204),"$5,439","$19,125",,,,
Northwestern Medicine Central DuPage Hospital,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$7,399","$19,095",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Ascension Sacred Heart Hospital Bay (AKA Bay Medical Sacred Heart),"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST  (604, 605)","$5,897","$19,093",,,Ascension Sacred Heart Health System,Ascension Health
Northwestern Medicine Central DuPage Hospital,RESPIRATORY SIGNS & SYMPTOMS  (204),$0,"$19,084",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
OSF Saint Paul Medical Center (FKA Mendota Community Hospital),"HEART FAILURE & SHOCK  (291, 292, 293)","$12,685","$19,073",,,OSF HealthCare,
Edward Hospital (FKA Edward Heart Hospital),PSYCHOSES  (885),"$10,311","$19,071",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Advocate Good Shepherd Hospital,"CELLULITIS  (602, 603)","$4,515","$19,004",,,Advocate Health Care,Advocate Health
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS  (987, 988, 989)","$15,362","$18,994",,,Prime Healthcare Services,Prime Healthcare Services
Ascension Alexian Brothers Behavioral Health Hospital (FKA AMITA Health Alexian Brothers Behavioral Health Hospital Hoffman Estates),OTHER MENTAL DISORDER DIAGNOSES  (887),"$3,822","$18,981",,,Ascension Health Illinois,Ascension Health
Elmhurst Hospital,"BONE DISEASES & ARTHROPATHIES  (553, 554)","$4,652","$18,937",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
DMC Sinai-Grace Hospital,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION  (880),"$9,443","$18,922",,,Detroit Medical Center (AKA VHS of Michigan),Tenet Healthcare
Aspirus Divine Savior Hospital (FKA Divine Savior Healthcare),"ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY  (896, 897)","$7,250","$18,734",,,Aspirus Health (FKA Community Health Care Inc),Aspirus Health (FKA Community Health Care Inc)
Swedish Hospital (FKA Swedish Covenant Hospital),"FRACTURES OF FEMUR  (533, 534)","$6,999","$18,709",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Evanston Hospital (AKA NorthShore Evanston Hospital),"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$5,985","$18,677",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Lincoln Memorial Hospital (FKA Abraham Lincoln Memorial Hospital),"KIDNEY & URINARY TRACT INFECTIONS  (689, 690)","$10,463","$18,670",,,Memorial Health (FKA Memorial Health System),
St Mary Medical Center,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSES  (154, 155, 156)","$5,255","$18,669",,,Powers Health (FKA Community Healthcare System),
Franciscan Health Dyer (FKA Franciscan St Margaret Health - Dyer Campus),"DIABETES  (637, 638, 639)","$11,369","$18,669",,,Franciscan Alliance Inc (AKA Franciscan Health),
HonorHealth Scottsdale Thompson Peak Medical Center,"G.I. OBSTRUCTION  (388, 389, 390)","$5,085","$18,646",,,HonorHealth (FKA Scottsdale Lincoln Health Network),HonorHealth (FKA Scottsdale Lincoln Health Network)
Advocate Good Shepherd Hospital,"DISORDERS OF PANCREAS EXCEPT MALIGNANCY  (438, 439, 440)","$5,762","$18,644",,,Advocate Health Care,Advocate Health
Northwest Community Hospital (AKA Northwest Community Healthcare),"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$10,601","$18,639",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
John H Stroger Jr Hospital of Cook County,"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$67,332","$18,636",,,Cook County Health & Hospitals System,
ProHealth Rehabilitation Hospital of Wisconsin,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (559, 560, 561)","$18,242","$18,623",,,ProHealth Care,ProHealth Care
Ascension All Saints Hospital - Spring Street Campus (FKA Ascension Wheaton Franciscan Healthcare - All Saints),"DISORDERS OF PANCREAS EXCEPT MALIGNANCY  (438, 439, 440)","$7,465","$18,578",,,Ascension Wisconsin (FKA Ascension Wheaton Franciscan Healthcare),Ascension Health
West Suburban Medical Center,"RED BLOOD CELL DISORDERS  (811, 812)","$8,632","$18,536",,,Resilience Healthcare,
Encompass Health Rehabilitation Hospital of Naples,"AFTERCARE  (949, 950)","$13,028","$18,515",,,Encompass Health Corporation (FKA HealthSouth),
Advocate Trinity Hospital,"OTHER DISORDERS OF NERVOUS SYSTEM  (091, 092, 093)","$4,824","$18,499",,,Advocate Health Care,Advocate Health
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),ORGANIC DISTURBANCES & MENTAL RETARDATION  (884),"$12,530","$18,468",,,OSF HealthCare,
Mayo Clinic Hospital - Arizona,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$13,727","$18,463",,,Mayo Clinic,Mayo Clinic
UChicago Medicine Ingalls Memorial Hospital,"DIABETES  (637, 638, 639)","$11,927","$18,435",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Beverly Hospital,"MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY  (469, 470)","$13,778","$18,319",,,Beth Israel Lahey Health,Beth Israel Lahey Health
Advocate Trinity Hospital,"INFLAMMATORY BOWEL DISEASE  (385, 386, 387)","$6,827","$18,282",,,Advocate Health Care,Advocate Health
Silver Cross Hospital,"MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL  (808, 809, 810)","$8,996","$18,260",,,,
Community First Medical Center (FKA Our Lady of the Resurrection Medical Center),"HERNIA PROCEDURES EXCEPT INGUINAL & FEMORAL  (353, 354, 355)","$9,505","$18,233",,,,
MyMichigan Medical Center Alma (FKA MidMichigan Medical Center - Gratiot),"TENDONITIS, MYOSITIS & BURSITIS  (557, 558)","$31,094","$18,207",,,MyMichigan Health (FKA MidMichigan Health),MyMichigan Health (FKA MidMichigan Health)
Advocate Good Samaritan Hospital,"BONE DISEASES & ARTHROPATHIES  (553, 554)","$6,115","$18,196",,,Advocate Health Care,Advocate Health
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),"OTITIS MEDIA & URI  (152, 153)",$0,"$18,196",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Advocate Lutheran General Hospital,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION  (880),$806,"$18,179",,,Advocate Health Care,Advocate Health
John H Stroger Jr Hospital of Cook County,"ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE  (834, 835, 836)","$73,547","$18,155",,,Cook County Health & Hospitals System,
Northwestern Medicine Palos Hospital (AKA Palos Health),"MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL  (808, 809, 810)","$6,508","$18,125",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Marshfield Medical Center - Marshfield (FKA Ministry Saint Josephs Hospital),"OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES  (867, 868, 869)","$16,441","$18,080",,,Marshfield Clinic Health System (AKA Marshfield Clinic Region of Sanford Health),Sanford Health
CHI Health Lakeside (FKA Alegent Health Lakeside Hospital),"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (559, 560, 561)",$0,"$18,060",,,CHI Health (FKA Alegent Creighton Health),CommonSpirit Health
Carle Foundation Hospital,TRANSIENT ISCHEMIA  (069),$0,"$18,050",,,Carle Health System,
Northwest Community Hospital (AKA Northwest Community Healthcare),"PNEUMOTHORAX  (199, 200, 201)","$12,743","$18,032",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Gottlieb Memorial Hospital,"URINARY STONES W/O ESW LITHOTRIPSY  (693, 694)","$4,614","$17,993",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Silver Cross Hospital,"HYPERTENSION  (304, 305)","$4,190","$17,959",,,,
MacNeal Hospital,"G.I. OBSTRUCTION  (388, 389, 390)","$7,016","$17,931",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Advocate Sherman Hospital,"BENIGN PROSTATIC HYPERTROPHY  (725, 726)","$4,404","$17,846",,,Advocate Health Care,Advocate Health
Northwestern Memorial Hospital,"VAGINA, CERVIX & VULVA PROCEDURES  (746, 747)","$14,769","$17,771",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Billings Clinic Hospital,"PULMONARY EMBOLISM  (175, 176)","$5,367","$17,763",,,Billings Clinic Health System,Billings Clinic-Logan Health (AKA Billings Clinic and Logan Health)
Ascension St Vincent Anderson (FKA St Johns Health System),PSYCHOSES  (885),"$9,000","$17,692",,,St Vincent Health,Ascension Health
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST  (604, 605)","$5,664","$17,654",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
Hopedale Medical Complex,"COMPLICATIONS OF TREATMENT  (919, 920, 921)","$13,942","$17,652",,,,
Tucson Medical Center (AKA TMC HealthCare),"SIGNS & SYMPTOMS  (947, 948)",$0,"$17,637",,,TMC Health,
Swedish Hospital (FKA Swedish Covenant Hospital),"KIDNEY & URINARY TRACT INFECTIONS  (689, 690)","$6,110","$17,621",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Weiss Memorial Hospital (Closed),This code has been redacted as part of our industry standard HIPAA Certification. Please contact your CSM for further information.,$0,"$17,592",,,Resilience Healthcare,
Riverside Medical Center (AKA Riverside Healthcare),"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (559, 560, 561)","$3,026","$17,589",,,,
Humboldt Park Health (FKA Norwegian American Hospital),"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE  (280, 281, 282)","$13,594","$17,567",,,,
University of Iowa Hospitals & Clinics,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION  (880),"$7,284","$17,438",,,University of Iowa Health Care,
Community First Medical Center (FKA Our Lady of the Resurrection Medical Center),"OTITIS MEDIA & URI  (152, 153)","$8,036","$17,427",,,,
Silver Cross Hospital,"HEADACHES  (102, 103)","$4,623","$17,374",,,,
Southeast Iowa Regional Medical Center - West Burlington Campus (FKA Great River Medical Center),"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$7,789","$17,369",,,Great River Health,
Southeast Iowa Regional Medical Center - West Burlington Campus (FKA Great River Medical Center),PULMONARY EDEMA & RESPIRATORY FAILURE  (189),"$10,344","$17,349",,,Great River Health,
Northwestern Medicine Valley West Hospital (FKA Valley West Community Hospital),"OTHER CIRCULATORY SYSTEM DIAGNOSES  (314, 315, 316)","$5,262","$17,323",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Thorek Memorial Hospital Andersonville (FKA Methodist Hospital of Chicago),DEPRESSIVE NEUROSES  (881),"$4,036","$17,307",,,Thorek Memorial Hospital Health System,
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),"SKIN ULCERS  (592, 593, 594)","$12,403","$17,292",,,Prime Healthcare Services,Prime Healthcare Services
OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),"DISORDERS OF THE BILIARY TRACT  (444, 445, 446)","$5,266","$17,286",,,OSF HealthCare,
Elmhurst Hospital,"MINOR SMALL & LARGE BOWEL PROCEDURES  (344, 345, 346)",$0,"$17,283",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwest Health - Porter (AKA Porter Regional Hospital),"LYMPHOMA & NON-ACUTE LEUKEMIA  (840, 841, 842)","$20,852","$17,274",,,Northwest Health Porter (FKA Porter Health Care System),Community Health Systems (AKA CHS)
Encompass Health Rehabilitation Hospital of Katy,"AFTERCARE  (949, 950)","$11,573","$17,269",,,Encompass Health Corporation (FKA HealthSouth),
Community Hospital,"SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE  (555, 556)","$4,638","$17,263",,,Powers Health (FKA Community Healthcare System),
Cabell Huntington Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)","$5,421","$17,262",,,Marshall Health Network (FKA Mountain Health Network),Marshall Health Network (FKA Mountain Health Network)
McLaren Flint,"HEART FAILURE & SHOCK  (291, 292, 293)","$6,698","$17,249",,,McLaren Health Care Corporation,
Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),"OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES  (564, 565, 566)","$7,570","$17,244",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
John H Stroger Jr Hospital of Cook County,INBORN AND OTHER DISORDERS OF METABOLISM  (642),"$62,951","$17,206",,,Cook County Health & Hospitals System,
Boca Raton Regional Hospital,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS  (391, 392)","$4,247","$17,132",,,Baptist Health South Florida,Baptist Health South Florida
Munson Medical Center,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE  (559, 560, 561)","$5,132","$17,118",,,Munson Healthcare,Munson Healthcare
Carilion Roanoke Memorial Hospital,"OTITIS MEDIA & URI  (152, 153)","$7,970","$17,091",,,Carilion Clinic,
Presbyterian Hospital,"NONSPECIFIC CVA & PRECEREBRAL OCCLUSION W/O INFARCT  (067, 068)",$0,"$17,010",,,Presbyterian Healthcare Services,
Mercyhealth Hospital and Medical Center - Walworth,PULMONARY EDEMA & RESPIRATORY FAILURE  (189),"$5,831","$16,968",,,Mercyhealth (FKA Mercy Health System),
John H Stroger Jr Hospital of Cook County,ORGANIC DISTURBANCES & MENTAL RETARDATION  (884),"$69,971","$16,959",,,Cook County Health & Hospitals System,
Advocate Good Shepherd Hospital,"ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY  (896, 897)","$4,314","$16,931",,,Advocate Health Care,Advocate Health
Riverside Medical Center (AKA Riverside Healthcare),"CHRONIC OBSTRUCTIVE PULMONARY DISEASE  (190, 191, 192)","$7,252","$16,907",,,,
St Catherine Hospital,"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$11,688","$16,823",,,Powers Health (FKA Community Healthcare System),
Southeast Health Medical Center (FKA Southeast Alabama Medical Center),"HEART FAILURE & SHOCK  (291, 292, 293)","$9,967","$16,822",,,,
Uchicago Medicine AdventHealth Hinsdale (FKA AdventHealth Hinsdale),"ATHEROSCLEROSIS  (302, 303)",$0,"$16,801",,,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine)
SSM Health Saint Louis University Hospital,"OTHER KIDNEY & URINARY TRACT DIAGNOSES  (698, 699, 700)","$8,659","$16,782",,,SSM Health St Louis,SSM Health
John H Stroger Jr Hospital of Cook County,"OTHER RESPIRATORY SYSTEM DIAGNOSES  (205, 206)","$58,591","$16,782",,,Cook County Health & Hospitals System,
Euclid Hospital,"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)",$0,"$16,763",,,Cleveland Clinic Health System,Cleveland Clinic Health System
Sarasota Memorial Hospital - Venice,"RESPIRATORY INFECTIONS & INFLAMMATIONS  (177, 178, 179)","$9,751","$16,717",,,Sarasota Memorial Health Care System,
Sentara RMH Medical Center (FKA Rockingham Memorial Hospital),"G.I. OBSTRUCTION  (388, 389, 390)","$5,227","$16,703",,,Sentara Health (FKA Sentara Healthcare),
Brentwood Springs (FKA Brentwood Meadows),PSYCHOSES  (885),"$5,329","$16,691",,,Lifepoint Health Behavioral Health (FKA Springstone Inc),LifePoint Health (FKA LifePoint Hospitals)
Northwestern Medicine Kishwaukee Hospital (FKA Kishwaukee Community Hospital),"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA  (441, 442, 443)","$12,300","$16,688",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Jackson Memorial Hospital,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES  (640, 641)",$0,"$16,680",,,Jackson Health System (FL),
Ascension Alexian Brothers Behavioral Health Hospital (FKA AMITA Health Alexian Brothers Behavioral Health Hospital Hoffman Estates),ALCOHOL/DRUG ABUSE OR DEPENDENCE W REHABILITATION THERAPY  (895),"$5,013","$16,656",,,Ascension Health Illinois,Ascension Health
Jupiter Medical Center,"PERIPHERAL VASCULAR DISORDERS  (299, 300, 301)","$8,884","$16,608",,,,
